row_id,id,state,state_code,state_mean_churn,account_length,new_acct,international_plan,vmail_plan,vmail_message,int_no_vm,day_mins,day_calls,day_charge,day_mins_pc,day_call_hi,day_call_lo,day_call_prof,day_charge_pm,eve_mins,eve_calls,eve_charge,eve_mins_pc,eve_chatterbox,night_mins,night_calls,night_charge,night_mins_pc,intl_mins,intl_charge,intl_user,total_mins,total_charge,freq_user,custserv_calls,factor2,churn,5f_01,5f_03a,5f_03b,5f_06,5f_07,5f_08,5f_09,5f_10,5f_11,5f_12,5f_13,5factor,1stPC,2ndPC,3rdPC,4thPC,5thPC
10,400,GA,10,0.138888889,98,0,0,1,31,0,121,105,20.57,1.152380952,0,0,0,0.17,218.9,98,18.61,2.233673469,0,226.7,110,10.2,2.060909091,12,3.24,1,351.9,42.42,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,5,-2.173031234,-0.761401812,-2.61904943,0.947798225,1.096441827
12,3059,NV,33,0.204081633,116,0,0,1,35,0,118,103,20.06,1.145631068,0,0,0,0.17,167.2,106,14.21,1.577358491,0,205.7,102,9.26,2.016666667,11.8,3.19,1,297,37.46,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,3,-1.661319415,-2.151990768,-2.597918919,-0.556289872,-0.137712267
14,518,NM,32,0.104166667,87,0,0,0,0,0,168.2,92,28.59,1.82826087,0,1,-1,0.169976219,224.7,100,19.1,2.247,0,169.5,99,8.982912957,1.712121212,12.9,3.48,1,405.8,51.17,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-2,1.643786614,-0.549777674,-2.822351508,-1.218465583,0.616658123
15,2859,WV,49,0.093333333,87,0,0,0,0,0,58,125,9.86,0.464,1,0,1,0.17,67.5,116,5.74,0.581896552,0,185.9,136,8.37,1.366911765,11.5,3.11,1,137,18.71,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,-5.381825963,-4.654520133,-2.609922712,-1.746066226,-2.281110127
16,1293,ID,13,0.142857143,166,0,0,0,0,0,220.7,106,37.52,2.082075472,1,0,1,0.170004531,177.8,118,15.11,1.506779661,0,206.1,102,9.27,2.020588235,12.4,3.35,1,410.9,55.98,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,6,-2.397839473,1.620590682,-2.01614387,-0.259936056,-2.141046765
17,2713,NH,30,0.114285714,116,0,0,0,24,0,183.6,138,31.21,1.330434783,1,0,1,0.169989107,203.8,90,17.32,2.264444444,0,166.9,89,7.51,1.875280899,6,1.62,0,393.4,50.15,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,5,-3.047199026,0.502739395,2.700023499,-0.717475198,0.48392156
18,462,OH,35,0.132075472,144,0,0,0,18,0,106.4,109,18.09,0.976146789,1,0,1,0.170018797,108.1,99.79722519,9.19,1.08319645,0,208.4,111,8.982912957,1.877477477,10.1,2.73,0,224.6,30.01,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,4,-3.898425241,-3.368802539,0.822623686,-0.521340861,-1.55491999
19,2005,NY,34,0.193548387,119,0,0,0,0,0,133.4,102,22.68,1.307843137,0,0,0,0.170014993,204.6,71,17.39,2.881690141,0,196.9,103,8.86,1.911650485,11.1,2.764726543,0,349.1,42.83472654,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-0.860014773,-1.285188535,0.654665093,-0.62877702,1.843005405
20,2733,NM,32,0.104166667,158,0,0,0,0,0,172.4,114,29.31,1.512280702,1,0,1,0.170011601,256.6,69,21.81,3.71884058,0,235.3,104,10.59,2.2625,0,0,0,429,51.12,0,2,1,0,1,1,0,0,1,1,0,0,1,0,1,5,-2.057302987,1.58367497,4.337559045,2.036300335,2.867295195
21,1199,DC,7,0.078947368,180,0,0,1,33,0,231.8,78,39.41,2.971794872,0,1,-1,0.170017256,232.9,79,19.8,2.948101266,0,206.9,121,9.31,1.709917355,7.6,2.764726543,0,472.3,61.97472654,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,-3,4.004294192,1.756449442,1.446516286,-0.327060787,0.973495911
22,2709,ME,21,0.255813953,193,0,0,1,31,0,71.2,58,12.1,1.227586207,0,1,-1,0.16994382,124.7,105,10.6,1.187619048,0,155.5,108,7,1.439814815,11.7,3.16,1,207.6,25.86,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,-1,0.445936052,-5.099081541,-3.164302722,-2.377031622,-0.424365785
23,2751,MI,22,0.195652174,128,0,0,0,0,0,179.4,94,30.5,1.908510638,0,1,-1,0.170011148,270.4,92,22.98,2.939130435,0,191,88,8.59,2.170454545,7.9,2.13,0,457.7,55.61,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,-2,2.437054414,0.663744689,1.624248844,-0.281597241,2.409344441
24,636,KS,16,0.163265306,121,0,0,0,0,0,150.7,105,25.62,1.435238095,0,0,0,0.170006636,197.3,133,16.77,1.483458647,0,169,116,7.61,1.456896552,9.2,2.48,0,357.2,44.87,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,4,-1.744082595,-1.092418875,1.429475196,-1.461169564,-0.751109695
25,719,AK,0,0.085714286,78,0,0,0,0,0,190.3,88,32.35,2.1625,0,1,-1,0.169994745,194.5,99.79722519,16.53,1.948951984,0,256.5,109,8.982912957,2.353211009,11.7,3.16,1,396.5,52.04,0,2,0,0,0,0,1,0,1,0,1,0,0,1,1,-4,2.630608264,-0.58135409,-2.607226297,1.11236736,-0.672445506
26,942,VT,46,0.111111111,126,0,0,0,0,0,226.2,88,38.45,2.570454545,0,1,-1,0.169982317,140.3,114,11.93,1.230701754,0,208.9,110,9.4,1.899090909,6.4,1.73,0,372.9,52.11,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,-5,3.023308905,-1.528482782,1.962069702,-0.183117524,-2.709204712
27,818,NM,32,0.104166667,153,0,0,0,0,0,185.3,127,31.5,1.459055118,1,0,1,0.169994603,208,73,17.68,2.849315068,0,206.1,124,9.27,1.662096774,15.1,4.08,1,408.4,53.26,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,7,-3.173457051,2.027106223,-2.932966134,-0.7805246,0.740347703
28,2444,TX,43,0.234042553,121,0,0,1,31,0,263.1,70,44.73,3.758571429,0,1,-1,0.170011403,279.3,118,23.74,2.366949153,1,127.1,143,5.72,0.888811189,9.7,2.62,0,552.1,71.09,1,5,1,0,1,0,1,1,0,0,1,0,1,0,0,-4,5.228972578,3.731855007,2.097137105,-2.600827417,0.913861156
29,2780,IN,15,0.069767442,77,0,0,0,0,0,185.9,95,31.6,1.956842105,0,1,-1,0.169983862,212,98,18.02,2.163265306,0,282.3,81,12.7,3.485185185,11.3,3.05,1,409.2,52.67,0,3,1,0,0,0,1,0,1,0,0,0,0,1,0,-4,2.016353694,-0.829321897,-2.582590353,3.195514993,0.547953695
30,1830,CT,6,0.170212766,50,0,0,0,0,0,301.7,82,51.29,3.679268293,0,1,-1,0.170003315,167.1,99.79722519,14.2,1.674395252,0,72.2,89,3.25,0.811235955,10.5,2.764726543,0,479.3,68.25472654,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,-4,4.513964223,2.3186131,1.625976921,-3.488268849,-2.942291237
31,309,SD,41,0.088888889,209,0,0,0,0,0,227.2,128,38.62,1.775,1,0,1,0.169982394,258.4,92,21.96,2.808695652,1,183.5,74,8.26,2.47972973,8.9,2.4,0,494.5,62.98,1,3,1,0,1,1,0,0,0,1,0,0,1,0,0,5,-1.680981322,3.870717866,2.374637301,0.167920497,2.080748019
32,1072,MO,24,0.097560976,164,0,0,1,25,0,219.1,88,37.25,2.489772727,0,1,-1,0.170013692,151.5,99.79722519,12.88,1.51807828,0,50.1,60,2.25,0.835,14.3,3.86,1,384.9,53.99,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,-3,2.56326136,-0.147106249,-2.874773608,-4.302588799,-2.181436235
33,2010,NC,27,0.128205128,89,0,0,0,0,0,105.9,151,18,0.701324503,1,0,1,0.169971671,189.6,142,16.12,1.335211268,0,170.9,67,7.69,2.550746269,12.7,3.43,1,308.2,37.55,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,-4.639262168,-1.055077155,-2.441515075,-0.602907233,-0.836201457
34,553,UT,44,0.181818182,61,0,1,0,0,1,78.2,103,13.29,0.759223301,0,0,0,0.169948849,195.9,149,16.65,1.314765101,0,108,100,4.86,1.08,10.1,2.764726543,0,284.2,32.70472654,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.743079837,-3.17453475,0.762051272,-3.255036947,-0.397806922
35,2622,IL,14,0.076923077,86,0,0,1,16,0,144.8,105,24.62,1.379047619,0,0,0,0.170027624,206.2,111,17.53,1.857657658,0,255.4,117,11.49,2.182905983,11.6,3.13,1,362.6,45.28,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,4,-1.811292048,-0.597380688,-2.328590712,1.604014662,0.496376506
37,1256,TN,42,0.111111111,98,0,0,0,0,0,162.8,65,27.68,2.504615385,0,1,-1,0.17002457,185,99.79722519,15.73,1.853758956,0,219.5,104,9.88,2.110576923,6,1.62,0,353.8,45.03,0,2,0,0,0,0,1,0,0,0,1,0,1,0,1,-5,3.12548066,-2.299858935,1.870768245,0.074988304,-0.488831704
38,3245,OR,37,0.125,89,0,0,0,0,0,111.2,101,18.9,1.100990099,0,0,0,0.169964029,122.1,94,10.38,1.29893617,0,180.8,85,8.14,2.127058824,12.6,3.4,1,245.9,32.68,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,2,-1.849735751,-3.085251662,-2.892247567,-1.075436415,-0.311953969
39,1447,GA,10,0.138888889,160,0,0,0,0,0,174.3,105,29.63,1.66,0,0,0,0.169994263,171.3,107,14.56,1.600934579,0,220.8,131,9.94,1.685496183,8.3,2.24,0,353.9,46.43,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,-1.582878703,-0.967603376,1.57456074,-0.257344198,-1.102489104
41,228,VA,45,0.039215686,104,0,0,0,23,0,280.2,136,47.63,2.060294118,1,0,1,0.169985724,220.5,92,18.74,2.39673913,1,136.9,102,6.16,1.342156863,13.3,2.764726543,0,514,69.13472654,1,4,1,0,1,1,0,0,0,1,0,0,1,0,0,5,-1.427186556,4.741298658,1.880108576,-1.661612467,0.624371762
42,1458,MD,20,0.25,125,0,0,0,0,0,137.1,94,23.31,1.458510638,0,1,-1,0.170021882,209.8,83,17.83,2.527710843,0,238.4,114,10.73,2.09122807,8.6,2.32,0,355.5,43.46,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,-3,1.465089229,-2.326646956,0.818443992,1.224167883,1.787429492
43,1099,HI,11,0.083333333,157,0,0,0,0,0,276.2,95,46.95,2.907368421,0,1,-1,0.169985518,165.8,119,14.09,1.393277311,0,151.6,79,6.82,1.918987342,2.2,0.59,0,444.2,61.63,1,3,1,0,1,0,1,0,0,0,1,0,1,0,0,-5,3.882980964,0.689045556,3.854269997,-0.882930245,-2.428752489
44,836,IL,14,0.076923077,81,0,0,1,31,0,210.4,100,35.77,2.104,0,0,0,0.170009506,225.5,97,19.17,2.324742268,0,168.7,120,7.59,1.405833333,9.7,2.62,0,445.6,57.56,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1.089505172,1.722240821,1.584139878,-1.216878288,-0.104214692
47,1552,SD,41,0.088888889,75,0,0,0,0,0,147.5,110,25.08,1.340909091,1,0,1,0.170033898,191.7,99.79722519,16.29,1.920895091,0,135,68,6.08,1.985294118,16.4,4.43,1,355.6,45.8,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,6,-3.302054329,0.395543301,-3.346172303,-1.820214076,-0.426052091
48,687,SC,40,0.181818182,108,0,0,0,0,0,187.4,101,31.86,1.855445545,0,0,0,0.170010672,199.9,126,16.99,1.586507937,0,216.1,107,8.982912957,2.019626168,12.6,3.4,1,399.9,52.25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-0.523944243,0.205074365,-2.44176762,-0.432872944,-1.064147584
49,2501,IL,14,0.076923077,101,0,0,0,0,0,124.8,66,21.22,1.890909091,0,1,-1,0.170032051,257.2,85,21.86,3.025882353,0,193.2,115,8.69,1.68,13.4,2.764726543,0,395.4,45.84472654,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,-3,2.185327239,-1.474229925,0.066579311,-1.073364881,2.872198288
50,1374,MI,22,0.195652174,97,0,0,1,32,0,168.4,129,28.63,1.305426357,1,0,1,0.170011876,225.9,97,19.2,2.328865979,0,191.8,95,8.63,2.018947368,8.5,2.3,0,402.8,50.13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,-2.830750844,0.506283811,1.88223894,-0.151470146,0.51072654
51,2741,VA,45,0.039215686,21,1,0,0,0,0,223.2,142,37.94,1.571830986,1,0,1,0.169982079,216.5,99.79722519,18.4,2.169398995,0,214.7,111,8.982912957,1.934234234,12.4,3.35,1,452.1,59.69,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,6,-2.615284471,3.268248317,-1.613419146,0.420276388,0.016216184
52,1242,ND,28,0.131578947,136,0,0,0,0,0,256.8,90,43.66,2.853333333,0,1,-1,0.170015576,230.1,104,19.56,2.2125,1,143.6,82,6.46,1.751219512,9.1,2.46,0,496,65.68,1,3,1,0,1,0,1,0,0,0,1,0,1,0,0,-5,4.260402191,2.377047072,1.994442325,-1.376543402,0.217719147
53,2963,ID,13,0.142857143,113,0,0,1,30,0,183.8,102,31.25,1.801960784,0,0,0,0.170021763,183.4,123,15.59,1.491056911,0,235,52,10.58,4.519230769,11.6,3.13,1,378.8,49.97,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-0.539556822,-0.669180506,-2.570862234,3.280709747,-1.098625237
54,2977,MT,26,0.272727273,132,0,0,0,0,0,195.1,100,33.17,1.951,0,0,0,0.170015377,148.8,95,12.65,1.566315789,0,224.5,117,10.1,1.918803419,6.7,1.81,0,350.6,47.63,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,-0.437204726,-1.177487983,1.924781761,0.099301606,-1.097275321
56,627,DE,8,0.186046512,87,0,0,0,0,0,256.2,105,43.55,2.44,0,0,0,0.169984387,160.7,102,13.66,1.575490196,0,249.4,80,11.22,3.1175,7.4,2,0,424.3,59.21,1,4,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0.346370722,0.871916255,2.132684898,2.847486919,-2.322698036
59,274,PA,38,0.222222222,92,0,0,1,28,0,151.1,90,25.69,1.678888889,0,1,-1,0.170019854,194.8,79,16.56,2.465822785,0,239.2,114,10.76,2.098245614,10,2.7,0,355.9,44.95,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,-3,1.694902752,-2.211300674,0.397268449,1.324269858,1.534896321
60,321,WY,50,0.12,114,0,0,1,32,0,125.2,79,21.28,1.584810127,0,1,-1,0.169968051,177.8,105,15.11,1.693333333,0,232.4,89,10.46,2.611235955,12.9,3.48,1,315.9,39.87,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,-3,1.250471754,-2.951913652,-3.427245805,1.349603502,0.24232907
61,3165,WI,48,0.111111111,91,0,0,1,44,0,216.6,101,36.82,2.144554455,0,0,0,0.169990766,173.1,98,14.71,1.766326531,0,242.1,95,10.89,2.548421053,9.1,2.46,0,398.8,53.99,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,-2,0.857987239,-0.257126064,1.261432838,2.180502079,-1.385507027
62,938,TX,43,0.234042553,130,0,0,0,0,0,120.5,127,20.49,0.948818898,1,0,1,0.170041494,189.7,52,16.12,3.648076923,0,270.1,107,12.15,2.524299065,14.3,3.86,1,324.5,40.47,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,7,-3.915848674,0.113404643,-3.303584909,2.072290263,2.065462968
63,2279,OR,37,0.125,80,0,0,0,0,0,113.2,86,19.24,1.31627907,0,1,-1,0.169964664,185.5,97,15.77,1.912371134,0,237.3,145,10.68,1.636551724,9.5,2.57,0,308.2,37.58,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,-5,1.32723852,-3.730508189,0.465115128,0.628250951,0.76786473
65,1329,AZ,3,0.055555556,137,0,0,0,0,0,141.1,91,23.99,1.550549451,0,1,-1,0.170021262,147.2,100,12.51,1.472,0,254.7,75,11.46,3.396,8,2.16,0,296.3,38.66,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,-5,1.361981541,-4.071123936,0.809667678,2.691772736,-0.493155435
66,1170,IN,15,0.069767442,108,0,0,0,0,0,199.3,104,33.88,1.916346154,0,0,0,0.169994982,224.2,92,19.06,2.436956522,0,140.1,57,6.3,2.457894737,15.2,4.1,1,438.7,57.04,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,4,-0.269829467,2.237407938,-3.035894749,-1.211980155,0.605689975
68,947,MN,23,0.153846154,150,0,0,1,28,0,174.4,75,29.65,2.325333333,0,1,-1,0.170011468,169.9,80,14.44,2.12375,0,201.6,130,9.07,1.550769231,11,2.97,1,355.3,47.06,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,-2,2.45867997,-1.05992564,-2.45423967,-1.104542169,-0.020091245
69,1384,CT,6,0.170212766,141,0,0,0,0,0,51.9,108,8.82,0.480555556,1,0,1,0.169942197,162,99.79722519,13.77,1.623291627,0,223.5,115,10.06,1.943478261,10.1,2.73,0,224,25.32,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,3,-4.114420834,-3.738793985,0.800389781,-0.244379866,0.655939591
70,1963,RI,39,0.115384615,131,0,0,0,0,0,112.8,133,19.18,0.848120301,1,0,1,0.170035461,199.4,99.79722519,16.95,1.998051545,0,142.7,105,6.42,1.359047619,10.1,2.73,0,322.3,38.86,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,-3.810730252,-1.188449067,1.257244446,-2.002524787,0.30672499
71,720,CT,6,0.170212766,100,0,0,1,38,0,177.1,88,30.11,2.0125,0,1,-1,0.17001694,163.7,108,13.91,1.515740741,0,242.7,72,10.92,3.370833333,7.4,2,0,348.2,46.02,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,-5,2.044711326,-2.884992839,1.165696852,2.700844143,-0.720528412
72,431,NE,29,0.071428571,148,0,0,0,0,0,178.3,98,30.31,1.819387755,0,0,0,0.169994391,282.6,110,24.02,2.569090909,0,181,98,8.15,1.846938776,11.4,3.08,1,472.3,57.41,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,3,-0.001848752,2.335171465,-1.813088511,-0.937935619,1.392980426
73,1863,TN,42,0.111111111,94,0,1,0,0,1,170.1,113,28.92,1.505309735,1,0,1,0.170017637,271.8,94,23.1,2.891489362,0,110.7,78,4.98,1.419230769,8.7,2.35,0,450.6,54.37,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,6,-2.312744724,2.707007575,2.013052077,-2.316365475,1.558789301
74,2949,MN,23,0.153846154,155,0,1,0,0,1,250.8,146,42.64,1.717808219,1,0,1,0.170015949,152.5,99.79722519,12.96,1.528098599,0,148.1,104,6.66,1.424038462,10,2.7,0,413.3,58.3,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,4,-2.824141795,1.672853088,1.683216228,-1.670486504,-2.927378228
75,1074,ME,21,0.255813953,177,0,0,0,0,0,232.8,106,39.58,2.196226415,1,0,1,0.170017182,175.2,97,14.89,1.806185567,0,212.2,77,9.55,2.755844156,12.5,3.38,1,420.5,57.85,1,2,1,0,0,1,0,1,0,0,1,0,0,1,1,6,-1.670283635,2.370355496,-2.005291269,0.531322652,-2.322633673
76,1627,OH,35,0.132075472,29,0,0,0,0,0,196.8,81,30.42569832,2.42962963,0,1,-1,0.154602126,168,110,14.28,1.527272727,0,132.6,98,5.97,1.353061224,12.7,3.43,1,377.5,48.13569832,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,-3,2.564048972,-0.851512751,-2.616096245,-2.515461469,-1.625234888
77,1671,VA,45,0.039215686,84,0,0,0,0,0,130.2,105,22.13,1.24,0,0,0,0.169969278,278,60,23.63,4.633333333,0,305.4,74,13.74,4.127027027,14,3.78,1,422.2,49.54,0,2,1,0,0,1,0,0,1,1,0,0,0,1,1,6,-1.69640423,1.206282115,-3.371116206,4.132583339,4.26922101
78,1281,MN,23,0.153846154,109,0,0,0,0,0,162.6,138,27.64,1.17826087,1,0,1,0.1699877,154,109,13.09,1.412844037,0,209.7,118,9.44,1.777118644,11.5,3.11,1,328.1,43.84,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,-3.900245636,-0.245836007,-2.000657231,-0.517136637,-1.643220317
79,1642,TN,42,0.111111111,99,0,0,0,0,0,54.8,92,9.32,0.595652174,0,1,-1,0.170072993,173,103,14.71,1.67961165,0,195.1,125,8.78,1.5608,7.5,2.03,0,235.3,26.06,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-4,0.237864995,-5.521301835,0.976711016,-1.265225335,1.165928601
80,2706,WV,49,0.093333333,125,0,0,0,0,0,206,128,35.02,1.609375,1,0,1,0.17,198.1,99.79722519,16.84,1.985025131,0,135.9,116,6.12,1.171551724,13.2,3.56,1,417.3,55.42,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,6,-2.978900211,1.964336384,-2.067399274,-2.381084811,-1.093651227
81,609,WY,50,0.12,111,0,0,0,0,0,146.2,55,24.85,2.658181818,0,1,-1,0.16997264,261.5,83,22.23,3.15060241,1,163.2,116,7.34,1.406896552,8.7,2.35,0,416.4,49.43,0,3,1,0,0,0,1,0,0,1,1,0,1,0,0,-5,3.808890173,-0.316708478,1.468392819,-1.743643105,3.333543376
82,1040,CT,6,0.170212766,150,0,0,0,0,0,189.3,77,32.18,2.458441558,0,1,-1,0.169994717,220.9,105,18.78,2.103809524,1,238.7,117,10.74,2.04017094,9.2,2.48,0,419.4,53.44,1,4,1,0,0,0,1,0,1,0,1,0,1,0,0,-7,3.672291336,-0.531048581,1.24981267,1.303753858,0.882276947
83,734,NJ,31,0.274509804,93,0,0,1,20,0,187.5,110,31.88,1.704545455,1,0,1,0.170026667,169.8,94,14.43,1.806382979,0,175.3,127,7.89,1.380314961,12.1,3.27,1,369.4,49.58,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,8,-3.013517298,1.013168728,-2.045701791,-1.495979759,-0.726116162
84,1400,VA,45,0.039215686,115,0,0,0,0,0,132,90,22.44,1.466666667,0,1,-1,0.17,197.5,75,16.79,2.633333333,0,175.8,114,7.91,1.542105263,0,0,0,329.5,39.23,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,-4,1.554366309,-3.249992028,3.687720894,-1.194961685,2.314018248
85,2779,CA,4,0.3,112,0,0,0,0,0,208.7,150,35.48,1.391333333,1,0,1,0.170004792,212.8,104,18.09,2.046153846,0,178.1,98,8.01,1.817346939,8.5,2.764726543,0,430,56.33472654,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,6,-2.851569904,2.348058083,1.976695501,-0.569657935,-0.686701158
86,1336,MS,25,0.268292683,124,0,0,0,0,0,251.5,85,42.76,2.958823529,0,1,-1,0.170019881,214.2,99.79722519,18.21,2.146352262,0,186.1,71,8.982912957,2.621126761,11.1,3,1,476.8,63.97,1,3,1,0,1,0,1,1,0,0,1,0,0,1,0,-2,3.71888774,2.424214082,-1.753740179,0.008151039,-0.929030396
87,2757,OK,36,0.119047619,35,0,0,0,0,0,179.2,59,30.46,3.037288136,0,1,-1,0.169977679,283.3,101,24.08,2.804950495,0,285.4,83,12.84,3.438554217,5.8,1.57,0,468.3,56.11,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,-5,4.432991428,0.560092077,2.014674329,3.679444582,1.604846709
